"model","elpd","se","p_loo","looic"
"speed_dep_hier_gender",-46.7294412250816,3.55501938646366,2.63955270748833,93.4588824501632
"speed_hier_age_group",-48.6872981627174,2.94111915006266,3.07781137212125,97.3745963254348
"speed_dep",-46.1371923658879,3.43115121024911,1.73594513763925,92.2743847317758
"speed",-48.8867195961355,2.88272483146187,1.36999456586857,97.7734391922711
"speed_dep_hier_gender_v2",-48.2476800094048,3.98612732520787,4.62094503351083,96.4953600188095
"speed_hier_age_group_v2",-48.7968108484256,2.86209770567878,2.99659106826993,97.5936216968511
