"model","intercept","intercept_se","n_obs","formula"
"speed_dep_hier_gender",-0.222173094532003,0.262454587419854,76,"list()"
"speed_hier_age_group",-0.206542195877277,0.333175328589571,76,"list()"
"speed_dep",-0.240936157242167,0.226845121443795,76,"list()"
"speed",-0.259728585364866,0.234589749188648,76,"list()"
"speed_dep_hier_gender_v2",-0.200048788491573,0.421654688771012,76,"list()"
"speed_hier_age_group_v2",-0.179244729292697,0.309552298635773,76,"list()"
